,0
494,436
495,339
496,423
497,54
498,542
499,990
500,414
501,303
502,298
503,186
504,800
505,671
506,722
507,1081
508,459
509,1104
510,125
511,507
512,114
513,933
514,1007
515,710
516,1096
517,97
518,947
519,554
520,173
521,385
522,287
523,667
524,1125
525,626
526,576
527,655
528,369
529,182
530,204
531,608
532,998
533,1097
534,697
535,370
536,1073
537,304
538,652
539,716
540,694
541,685
542,80
543,920
544,922
545,514
546,202
547,206
548,680
549,588
550,55
551,760
552,48
553,52
554,740
555,744
556,869
557,907
558,1083
559,526
560,172
561,974
562,242
563,651
564,276
565,130
566,919
567,133
568,210
569,582
570,1026
571,873
572,406
573,132
574,676
575,943
576,424
577,109
578,796
579,558
580,458
581,1105
582,715
583,442
584,248
585,753
586,1069
587,718
588,861
589,463
590,372
591,160
592,870
593,505
594,612
595,619
596,887
597,523
598,129
599,951
600,351
601,81
602,1123
603,163
604,1088
605,606
606,904
607,513
608,174
609,983
610,905
611,427
612,1038
613,765
614,547
615,711
616,552
617,240
618,1070
619,150
620,530
621,122
622,822
623,584
624,376
625,683
626,706
627,253
628,1017
629,504
630,1089
631,229
632,996
633,1023
634,49
635,810
636,220
637,829
638,910
639,550
640,433
641,237
642,151
643,745
644,128
645,169
646,247
647,568
648,131
649,281
650,945
651,460
652,1029
653,878
654,827
655,700
656,999
657,495
658,1040
659,1134
660,481
661,1135
662,543
663,840
664,289
665,929
666,1119
667,610
668,927
669,1103
670,1037
671,1003
672,494
673,948
674,885
675,618
676,971
677,371
678,755
679,270
680,1033
681,521
682,1066
683,497
684,170
685,440
686,645
687,1078
688,900
689,891
690,581
691,991
692,1098
693,516
694,731
695,238
696,292
697,1102
698,924
699,892
700,1121
701,492
702,646
703,217
704,386
705,609
706,1071
707,396
708,977
709,596
710,445
711,930
712,862
713,509
714,305
715,525
716,464
717,916
718,446
719,258
720,425
721,748
722,476
723,450
724,594
725,537
726,607
727,272
728,1019
729,580
730,426
731,574
732,467
733,1011
734,949
735,828
736,643
737,867
738,854
739,261
740,627
741,1080
742,1056
743,908
744,517
745,394
746,1064
747,939
748,395
749,562
750,452
751,649
752,1049
753,825
754,638
755,642
756,524
757,291
758,1079
759,265
760,823
761,413
762,470
763,538
764,565
765,449
766,471
767,835
768,520
769,498
770,968
771,123
772,992
773,599
774,1126
775,257
776,454
777,548
778,600
779,1013
780,1058
781,921
782,1141
783,1059
784,1142
785,1057
786,1143
787,1144
788,1000
789,1055
790,1052
791,1048
792,1138
793,1050
794,938
795,932
796,1051
797,928
798,1054
799,83
800,1139
801,1140
802,1053
803,1095
804,1094
805,1145
806,914
807,918
808,1075
809,223
810,1076
811,224
812,225
813,909
814,1148
815,1077
816,1149
817,57
818,230
819,1150
820,231
821,56
822,1087
823,232
824,1147
825,222
826,917
827,1074
828,1146
829,1060
830,1061
831,941
832,1063
833,215
834,1065
835,913
836,1093
837,1068
838,911
839,42
840,43
841,221
842,1090
843,940
844,1136
845,942
846,982
847,141
848,1021
849,1022
850,987
851,1111
852,1130
853,1131
854,986
855,985
856,984
857,148
858,149
859,1101
860,152
861,153
862,140
863,139
864,138
865,1124
866,1120
867,1004
868,1010
869,1014
870,1118
871,1015
872,1020
873,137
874,1082
875,1113
876,1112
877,995
878,994
879,136
880,1132
881,1030
882,1137
883,976
884,960
885,959
886,958
887,957
888,956
889,955
890,1043
891,954
892,953
893,950
894,1044
895,1045
896,1046
897,1047
898,944
899,961
900,963
901,965
902,1035
903,975
904,1133
905,1031
906,973
907,1032
908,1034
909,969
910,1042
911,166
912,967
913,966
914,1099
915,1036
916,1041
917,625
918,847
919,903
920,499
921,482
922,669
923,484
924,485
925,486
926,668
927,488
928,489
929,490
930,662
931,493
932,496
933,500
934,528
935,501
936,502
937,503
938,660
939,658
940,508
941,510
942,656
943,512
944,515
945,519
946,522
947,480
948,479
949,478
950,477
951,735
952,726
953,725
954,428
955,429
956,430
957,690
958,443
959,447
960,448
961,451
962,453
963,455
964,456
965,457
966,461
967,462
968,465
969,466
970,468
971,469
972,472
973,473
974,672
975,670
976,527
977,531
978,901
979,602
980,578
981,579
982,644
983,585
984,640
985,590
986,639
987,636
988,595
989,597
990,598
991,601
992,603
993,532
994,604
995,605
996,635
997,634
998,614
999,615
1000,616
1001,617
1002,620
1003,633
1004,622
1005,629
1006,577
1007,1151
1008,575
1009,573
1010,533
1011,534
1012,536
1013,650
1014,540
1015,541
1016,544
1017,545
1018,546
1019,549
1020,551
1021,553
1022,648
1023,555
1024,556
1025,557
1026,559
1027,560
1028,561
1029,563
1030,564
1031,647
1032,567
1033,571
1034,572
1035,739
1036,741
1037,412
1038,848
1039,296
1040,860
1041,859
1042,858
1043,857
1044,856
1045,855
1046,853
1047,852
1048,851
1049,850
1050,849
1051,846
1052,411
1053,845
1054,844
1055,843
1056,317
1057,842
1058,841
1059,320
1060,839
1061,323
1062,838
1063,837
1064,326
1065,294
1066,290
1067,863
1068,864
1069,898
1070,243
1071,244
1072,245
1073,897
1074,896
1075,895
1076,893
1077,888
1078,259
1079,884
1080,883
1081,881
1082,879
1083,267
1084,877
1085,876
1086,874
1087,274
1088,872
1089,278
1090,871
1091,868
1092,866
1093,865
1094,836
1095,329
1096,834
1097,791
1098,374
1099,375
1100,788
1101,786
1102,782
1103,781
1104,780
1105,777
1106,776
1107,768
1108,766
1109,761
1110,389
1111,390
1112,391
1113,392
1114,393
1115,758
1116,754
1117,751
1118,750
1119,749
1120,408
1121,409
1122,410
1123,373
1124,797
1125,833
1126,799
1127,832
1128,831
1129,334
1130,830
1131,826
1132,340
1133,341
1134,342
1135,343
1136,824
1137,809
1138,808
1139,807
1140,353
1141,354
1142,355
1143,356
1144,357
1145,358
1146,806
1147,805
1148,804
1149,803
1150,802
1151,801
1152,1152
